time: 14:30:18 | value: 99.0
time: 14:30:19 | value: 98.75
time: 14:30:20 | value: 99.0
time: 14:30:21 | value: 98.75
time: 14:30:22 | value: 99.0
time: 14:30:23 | value: 99.0
time: 14:30:24 | value: 99.0
time: 14:30:25 | value: 99.0
time: 14:30:26 | value: 98.75
time: 14:30:27 | value: 99.25
time: 14:30:28 | value: 99.75
time: 14:30:29 | value: 99.5
time: 14:30:30 | value: 98.75
time: 14:30:31 | value: 99.0
time: 14:30:32 | value: 99.25
time: 14:30:33 | value: 99.5
time: 14:30:34 | value: 99.0
time: 14:30:35 | value: 99.0
time: 14:30:36 | value: 99.5
time: 14:30:37 | value: 99.25
time: 14:30:38 | value: 99.0
time: 14:30:39 | value: 99.5
time: 14:30:40 | value: 99.75
